,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Bredasdorp,0,ZA,1563766404,80,-34.53,20.04,41.0,6.93
1,Coquimbo,0,CL,1563766404,87,-29.95,-71.34,50.0,5.82
2,Rikitea,32,PF,1563766405,76,-23.12,-134.97,68.15,19.42
3,Luderitz,0,NA,1563766405,65,-26.65,15.16,57.71,5.82
4,Marsh Harbour,100,BS,1563766254,73,26.54,-77.06,84.35,11.12
5,New Norfolk,75,AU,1563766405,51,-42.78,147.06,63.0,19.46
6,Torbay,90,CA,1563766406,93,47.66,-52.73,51.01,21.92
7,Nago,0,IT,1563766406,78,45.88,10.89,77.0,3.36
8,Albany,75,US,1563766251,47,42.65,-73.75,77.0,5.82
9,Atuona,48,PF,1563766406,78,-9.8,-139.03,80.03,12.41
10,Tabou,95,CI,1563766407,92,4.42,-7.36,74.09,5.06
11,Trairi,0,BR,1563766407,88,-3.28,-39.27,70.31,4.18
12,Airai,6,TL,1563766407,42,-8.93,125.41,81.83,4.41
13,San Patricio,9,PY,1563766407,65,-26.98,-56.83,72.11,12.08
14,Jamestown,0,AU,1563766408,42,-33.21,138.6,59.15,25.52
15,Kupang,37,ID,1563766408,61,-10.16,123.6,79.31,4.65
16,Saint George,0,GR,1563766408,68,39.45,22.34,75.99,3.36
17,Carnarvon,0,ZA,1563766408,36,-30.97,22.13,42.59,13.8
18,Matay,0,EG,1563766409,87,28.42,30.79,68.87,9.15
19,Ushuaia,75,AR,1563766409,74,-54.81,-68.31,33.8,9.17
20,Constitucion,90,MX,1563766409,59,23.99,-104.67,66.0,8.05
21,Khorinsk,32,RU,1563766409,47,52.16,109.78,75.17,1.86
22,Port Elizabeth,1,US,1563766410,79,39.31,-74.98,89.6,4.7
23,Verkhoyansk,10,RU,1563766410,39,67.55,133.39,53.39,9.06
24,Buala,100,SB,1563766410,73,-8.15,159.59,82.55,12.21
25,Klaksvik,100,FO,1563766411,93,62.23,-6.59,53.6,9.17
26,Guarapuava,93,BR,1563766180,80,-25.4,-51.46,59.87,8.34
27,Severo-Kurilsk,100,RU,1563766411,97,50.68,156.12,45.47,17.0
28,Khandyga,0,RU,1563766411,24,62.65,135.58,72.47,13.62
29,Le Port,34,FR,1563766411,69,42.87,1.37,70.0,1.01
30,Vaini,75,IN,1563766412,94,15.34,74.49,73.4,9.17
31,Port Lincoln,100,AU,1563766412,88,-34.72,135.86,56.63,31.59
32,Naze,85,NG,1563766412,98,5.43,7.07,72.29,4.23
33,Avarua,60,CK,1563766413,88,-21.21,-159.78,77.0,13.87
34,Lastoursville,100,GA,1563766413,93,-0.81,12.73,69.59,2.64
35,Ilhabela,100,BR,1563766413,80,-23.78,-45.36,71.21,13.51
36,Barrow,100,AR,1563766413,42,-38.31,-60.23,46.55,7.83
37,Aklavik,90,CA,1563766413,68,68.22,-135.01,64.4,3.36
38,Castro,20,CL,1563766414,100,-42.48,-73.76,33.8,4.7
39,Port Alfred,0,ZA,1563766414,37,-33.59,26.89,55.0,4.0
40,Punta Arenas,75,CL,1563766414,83,-53.16,-70.91,35.6,17.22
41,Qaanaaq,93,GL,1563766415,87,77.48,-69.36,38.63,5.55
42,Lagos,40,NG,1563766324,94,6.46,3.39,75.2,4.7
43,Hobart,75,AU,1563766241,51,-42.88,147.33,63.0,19.46
44,Kapaa,1,US,1563766415,69,22.08,-159.32,82.4,17.22
45,Kaitangata,73,NZ,1563766415,89,-46.28,169.85,54.0,1.01
46,Inuvik,90,CA,1563766416,68,68.36,-133.71,64.4,3.36
47,Bambous Virieux,75,MU,1563766416,88,-20.34,57.76,70.0,6.93
48,Port Huron,90,US,1563766416,73,42.98,-82.44,72.0,4.7
49,Bluff,26,AU,1563766416,52,-23.58,149.07,71.93,5.82
50,Goderich,22,CA,1563766417,85,43.74,-81.71,70.0,1.01
51,Excelsior Springs,90,US,1563766417,88,39.34,-94.23,73.4,16.11
52,Cidreira,56,BR,1563766417,83,-30.17,-50.22,63.11,7.18
53,Hilo,90,US,1563766201,69,19.71,-155.08,80.6,9.17
54,Ribeira Grande,40,PT,1563766418,86,38.52,-28.7,74.63,28.97
55,Mataura,65,NZ,1563766418,95,-46.19,168.86,51.01,5.01
56,Zhuhai,75,CN,1563766418,88,40.71,112.04,66.2,2.24
57,Nanortalik,93,GL,1563766418,94,60.14,-45.24,38.45,0.45
58,Lima,90,PE,1563766419,87,-12.06,-77.04,60.8,10.29
59,Chimbote,52,PE,1563766419,92,-9.08,-78.59,62.39,9.4
60,Caravelas,75,BR,1563766419,77,-17.73,-39.27,71.93,12.35
61,Tiksi,5,RU,1563766419,71,71.64,128.87,39.89,10.27
62,Busselton,100,AU,1563766420,43,-33.64,115.35,61.0,17.13
63,Saldanha,0,PT,1563766420,66,41.42,-6.55,68.69,4.72
64,Carlow,75,IE,1563766420,88,52.84,-6.93,66.99,19.46
65,Socorro,75,US,1563766421,19,31.65,-106.3,93.0,6.93
66,Kodiak,90,US,1563766421,94,39.95,-94.76,71.6,6.93
67,Lebu,75,ET,1563766421,87,8.96,38.73,57.2,6.93
68,Makakilo City,75,US,1563766421,58,21.35,-158.09,87.8,17.22
69,Kahului,40,US,1563766422,48,20.89,-156.47,87.8,20.8
70,Nikolskoye,0,RU,1563766423,76,59.7,30.79,61.0,1.63
71,Strezhevoy,75,RU,1563766423,63,60.73,77.6,66.2,6.71
72,Georgetown,0,GY,1563766351,94,6.8,-58.16,77.0,4.7
73,Vestmannaeyjar,50,IS,1563766424,90,63.44,-20.27,52.13,2.77
74,Comodoro Rivadavia,0,AR,1563766424,64,-45.87,-67.48,37.4,12.75
75,Puerto Ayora,32,EC,1563766425,94,-0.74,-90.35,70.0,4.0
76,Deputatskiy,100,RU,1563766425,92,69.3,139.9,34.85,7.14
77,Sehwan,0,PK,1563766426,62,26.43,67.86,89.6,6.93
78,Svetlogorsk,0,RU,1563766426,64,53.14,59.15,68.0,4.47
79,Hermanus,0,ZA,1563766426,69,-34.42,19.24,55.0,10.0
80,Pevek,100,RU,1563766426,95,69.7,170.27,33.59,21.54
81,College,1,US,1563766404,36,64.86,-147.8,77.0,10.29
82,Bethel,90,US,1563766427,77,60.79,-161.76,60.8,4.7
83,Karratha,0,AU,1563766427,12,-20.74,116.85,78.23,16.98
84,Camocim,0,BR,1563766427,86,-2.9,-40.84,72.29,3.94
85,Atar,0,MR,1563766428,19,20.52,-13.05,94.79,16.08
86,Gat,39,SN,1563766428,78,14.69,-16.54,80.6,6.93
87,Wewak,100,PG,1563766428,76,-3.55,143.63,82.73,5.53
88,Longyearbyen,75,NO,1563766428,81,78.22,15.63,44.6,18.34
89,East London,0,ZA,1563766428,49,-33.02,27.91,48.2,5.82
90,Butaritari,21,KI,1563766429,69,3.07,172.79,84.89,8.55
91,Cabo San Lucas,5,MX,1563766383,78,22.89,-109.91,82.99,4.7
92,Dikson,100,RU,1563766429,98,73.51,80.55,35.57,14.0
93,Praya,40,ID,1563766430,58,-8.71,116.27,84.2,12.75
94,Port Macquarie,76,AU,1563766208,30,-31.43,152.91,75.0,5.82
95,Taltal,100,CL,1563766430,87,-25.41,-70.49,50.69,1.52
96,Havoysund,0,NO,1563766430,72,71.0,24.66,64.4,11.41
97,Paranaiba,100,BR,1563766238,55,-19.68,-51.19,67.97,8.32
98,Port Blair,40,IN,1563766359,83,11.67,92.75,82.4,5.82
99,Imeni Zhelyabova,0,RU,1563766431,77,58.95,36.6,55.19,2.51
100,Udachnyy,0,RU,1563766431,22,66.42,112.4,77.0,4.47
101,Hudiksvall,100,SE,1563766432,97,61.73,17.1,56.99,2.24
102,Tres Arroyos,100,AR,1563766432,42,-38.38,-60.28,46.55,7.83
103,Sechura,10,PE,1563766432,89,-5.56,-80.82,63.83,6.98
104,Tromso,0,NO,1563766227,87,69.65,18.96,63.0,25.28
105,Dibrugarh,90,IN,1563766433,100,27.48,94.9,77.0,6.93
106,Rajbiraj,96,NP,1563766433,73,26.54,86.75,87.77,9.26
107,Yellowknife,90,CA,1563766434,64,62.45,-114.38,73.0,2.24
108,Staryy Krym,0,UA,1563766434,53,45.03,35.1,66.89,2.62
109,Mar del Plata,0,AR,1563766434,71,-46.43,-67.52,33.59,12.08
110,Cape Town,0,ZA,1563766329,66,-33.93,18.42,55.0,13.87
111,Leningradskiy,100,RU,1563766435,98,69.38,178.42,36.29,14.92
112,Adrar,0,DZ,1563766435,9,27.87,-0.29,91.4,16.11
113,Clifton,40,US,1563766437,62,40.86,-74.16,87.8,9.17
114,Thompson,75,CA,1563766437,63,55.74,-97.86,66.2,3.98
115,Vila Franca do Campo,20,PT,1563766437,94,37.72,-25.43,71.6,14.99
116,Tautira,20,PF,1563766437,65,-17.73,-149.15,78.8,20.8
117,Wattegama,100,LK,1563766438,95,7.35,80.68,72.65,5.3
118,Asha,40,RU,1563766438,97,54.99,57.29,60.41,4.34
119,Conde,0,BR,1563766438,94,-11.81,-37.61,66.17,4.05
120,Tilichiki,0,RU,1563766438,46,60.47,166.1,61.31,18.79
121,Taoudenni,20,ML,1563766439,26,22.68,-3.98,96.23,9.8
122,Broken Hill,0,AU,1563766439,27,-31.97,141.45,62.6,12.75
123,Klyuchi,0,RU,1563766439,49,52.25,79.17,71.75,8.03
124,Tuktoyaktuk,90,CA,1563766439,76,69.44,-133.03,53.6,5.82
125,Geraldton,20,CA,1563766440,62,49.72,-86.95,57.2,5.82
126,Morant Bay,20,JM,1563766440,62,17.88,-76.41,84.2,11.41
127,Thunder Bay,40,CA,1563766440,71,48.41,-89.26,62.01,6.93
128,Yamada,75,JP,1563766440,88,36.58,137.08,87.8,5.82
129,Tura,100,RU,1563766441,37,64.27,100.22,69.77,15.12
130,Fort Nelson,75,CA,1563766441,56,58.81,-122.69,69.8,13.87
131,Davila,75,PH,1563766381,74,18.47,120.58,87.8,3.36
132,Ikwiriri,0,TZ,1563766441,55,-7.96,38.99,69.77,6.58
133,Clyde River,90,CA,1563766442,100,70.47,-68.59,37.4,3.36
134,Hasaki,75,JP,1563766442,100,35.73,140.83,73.0,8.05
135,Mahebourg,75,MU,1563766377,88,-20.41,57.7,70.0,6.93
136,Erie,1,US,1563766192,73,42.13,-80.09,72.0,11.1
137,Nabire,97,ID,1563766443,85,-3.36,135.5,77.15,4.09
138,Upington,0,ZA,1563766443,34,-28.46,21.24,51.8,8.05
139,Namibe,32,AO,1563766443,83,-15.19,12.15,66.89,12.5
140,Itapora,6,BR,1563766443,51,-22.08,-54.79,68.87,9.64
141,Cherskiy,100,RU,1563766444,95,68.75,161.3,35.93,13.8
142,Agua Verde,75,MX,1563766444,88,22.89,-105.97,82.99,6.93
143,Plettenberg Bay,0,ZA,1563766160,42,-34.05,23.37,51.41,8.25
144,Male,0,UA,1563766444,81,50.74,33.7,62.75,4.45
145,Tuatapere,94,NZ,1563766444,95,-46.13,167.69,51.01,5.01
146,Bam,0,IR,1563766445,18,29.11,58.36,75.89,9.44
147,Sitka,2,US,1563766445,66,37.17,-99.65,79.0,3.0
148,Puerto Carreno,40,CO,1563766445,94,6.19,-67.49,77.0,3.44
149,Tasiilaq,0,GL,1563766445,87,65.61,-37.64,44.6,5.82
150,Ahipara,65,NZ,1563766446,92,-35.17,173.16,62.01,13.98
151,Guerrero Negro,0,MX,1563766446,88,27.97,-114.04,66.89,14.7
152,Chifeng,100,CN,1563766446,28,42.27,118.96,91.55,8.05
153,Hofn,100,IS,1563766447,97,64.25,-15.21,39.71,10.29
154,Store Heddinge,99,DK,1563766447,100,55.31,12.39,59.0,1.12
155,Vila,0,IT,1563766447,88,45.18,8.4,75.99,4.7
156,Kunming,100,CN,1563766202,89,25.04,102.71,75.0,3.91
157,Victoria,90,BN,1563766448,79,5.28,115.24,87.8,5.82
158,Hithadhoo,0,MV,1563766443,76,-0.6,73.08,83.09,13.96
159,Srednekolymsk,100,RU,1563766448,91,67.46,153.71,38.99,10.56
160,Sambava,59,MG,1563766449,97,-14.27,50.17,65.27,2.89
161,Laibin,98,CN,1563766449,79,23.74,109.23,84.53,11.68
162,Mitsamiouli,20,KM,1563766449,60,-11.38,43.28,75.2,12.75
163,Sao Gotardo,93,BR,1563766450,68,-19.31,-46.05,62.01,5.01
164,Bosaso,67,SO,1563766450,60,11.28,49.18,89.21,15.01
165,Ancud,20,CL,1563766451,100,-41.87,-73.83,33.8,4.7
166,Talnakh,0,RU,1563766451,38,69.49,88.39,75.2,8.95
167,Adeje,61,NG,1563766452,91,5.68,5.76,75.53,6.29
168,Bundaberg,75,AU,1563766452,46,-24.87,152.35,75.99,6.93
169,Beinamar,100,TD,1563766452,98,8.67,15.38,69.59,1.3
170,Hualmay,41,PE,1563766452,86,-11.1,-77.61,62.39,11.12
171,Nuuk,100,GL,1563766164,93,64.17,-51.74,44.01,1.12
172,Faanui,0,PF,1563766453,80,-16.48,-151.75,78.59,19.53
173,Languyan,75,FR,1563766453,100,48.3,-3.83,64.0,5.82
174,Bolitoc,100,PH,1563766453,79,15.74,119.88,80.57,6.42
175,Katsuura,75,JP,1563766454,94,33.93,134.5,82.99,16.11
176,Saint-Philippe,1,CA,1563766454,68,45.36,-73.48,75.2,5.82
177,Sandata,100,RU,1563766454,85,46.27,41.76,65.09,4.23
178,Kenai,1,US,1563766455,60,60.55,-151.26,72.0,6.93
179,Abonnema,99,NG,1563766455,90,4.71,6.79,75.35,7.0
180,Kamyzyak,40,RU,1563766455,44,46.12,48.08,78.8,6.71
181,Grand Gaube,75,MU,1563766455,88,-20.01,57.66,70.0,6.93
182,Clyde,37,NZ,1563766456,81,-45.19,169.32,51.01,1.36
183,Sitamau,56,IN,1563766456,58,24.01,75.35,87.59,7.47
184,Half Moon Bay,90,US,1563766456,93,37.46,-122.43,73.0,3.36
185,Basco,90,US,1563766456,78,40.33,-91.2,77.0,13.87
186,Alice Springs,0,AU,1563766457,27,-23.7,133.88,69.8,8.05
187,Barao de Melgaco,0,BR,1563766457,47,-16.19,-55.97,75.2,4.7
188,Bilecik,0,TR,1563766457,100,40.14,29.98,62.6,2.24
189,Rawson,0,AR,1563766458,68,-43.3,-65.11,38.99,10.18
190,Stromness,75,CA,1563766458,60,42.87,-79.55,73.99,8.05
191,Ruteng,1,ID,1563766458,39,-8.61,120.46,89.93,3.18
192,Raglan,75,AU,1563766458,46,-23.72,150.82,77.0,9.17
193,Port Hardy,40,CA,1563766459,72,50.7,-127.42,62.6,10.29
194,Laguna,40,BZ,1563766459,94,16.17,-88.94,80.6,3.47
195,Balkhash,0,KZ,1563766459,39,46.84,74.98,80.6,6.71
196,Narsaq,88,GL,1563766460,81,60.91,-46.05,44.6,4.7
197,Saint Anthony,1,US,1563766384,36,43.97,-111.68,82.4,4.7
198,Ulladulla,0,AU,1563766462,28,-35.36,150.48,69.8,4.7
199,Atlantis,0,ZA,1563766462,66,-33.57,18.5,55.0,13.87
200,Iberia,0,PE,1563766462,70,-11.41,-69.49,73.73,2.46
201,Salalah,90,OM,1563766463,94,17.01,54.1,78.8,3.36
202,Maragogi,38,BR,1563766463,96,-9.01,-35.22,68.87,4.65
203,Shimoda,75,JP,1563766463,83,34.7,138.93,82.4,10.29
204,Hotarele,0,RO,1563766463,88,44.18,26.37,69.01,2.71
205,Sarkand,0,KZ,1563766464,21,45.41,79.91,85.79,5.61
206,Swan River,58,CA,1563766464,79,52.11,-101.27,57.35,4.7
207,Kavieng,24,PG,1563766464,68,-2.57,150.8,83.81,5.55
208,Gamba,16,CN,1563766464,56,28.28,88.52,47.99,3.27
209,Alofi,100,NU,1563766465,83,-19.06,-169.92,75.2,16.11
210,Norman Wells,90,CA,1563766465,68,65.28,-126.83,66.2,2.24
211,Goundi,100,TD,1563766465,98,9.36,17.37,70.85,1.66
212,Tsiroanomandidy,0,MG,1563766466,83,-18.77,46.05,50.87,3.58
213,Tallahassee,40,US,1563766301,94,30.44,-84.28,80.01,4.7
214,Loandjili,75,CG,1563766466,94,-4.77,11.87,71.6,3.36
215,Baykit,23,RU,1563766466,45,61.68,96.39,66.35,9.89
216,Chauk,100,MM,1563766467,83,20.89,94.82,79.85,9.26
217,Takayama,75,JP,1563766467,88,36.14,137.25,79.0,5.82
218,Saskylakh,9,RU,1563766467,38,71.97,114.09,74.99,12.71
219,Carutapera,0,BR,1563766468,91,-1.2,-46.02,72.65,4.47
220,Leshukonskoye,78,RU,1563766468,82,64.9,45.76,52.13,6.85
221,Batagay,61,RU,1563766468,42,67.65,134.64,51.95,7.25
222,Provideniya,90,RU,1563766469,87,64.42,-173.23,51.8,15.66
223,Ramgarh,0,IN,1563766469,46,27.26,75.18,94.07,10.36
224,Abatskoye,11,RU,1563766470,81,56.29,70.46,67.07,11.1
225,Mamedkala,34,RU,1563766470,62,42.17,48.12,78.59,10.09
226,Kathmandu,75,NP,1563766471,94,27.71,85.32,71.6,3.36
227,Todos Santos,5,MX,1563766471,65,23.45,-110.23,82.4,13.87
228,Ponta do Sol,32,BR,1563766471,81,-20.63,-46.0,56.63,7.52
229,Lompoc,90,US,1563766472,93,34.64,-120.46,64.4,5.82
230,Anloga,75,GH,1563766472,94,5.79,0.9,77.0,9.17
231,Antalya,0,TR,1563766472,30,36.9,30.69,84.2,12.75
232,Doha,0,QA,1563766472,75,25.29,51.53,89.6,5.82
233,Yulara,0,AU,1563766473,21,-25.24,130.99,71.6,3.36
234,Camacha,40,PT,1563766473,82,33.08,-16.33,69.8,9.17
235,Taitung,75,TW,1563766473,78,22.76,121.15,82.4,9.17
236,Sherpur,100,BD,1563766473,75,25.02,90.01,86.15,8.81
237,Kasane,0,BW,1563766474,68,-17.8,25.16,51.59,9.42
238,At-Bashi,0,KG,1563766474,56,41.17,75.81,58.97,3.29
239,Bogorodskoye,100,RU,1563766474,86,52.37,140.44,63.83,4.14
240,Mayo,75,CA,1563766475,24,63.59,-135.9,80.6,10.29
241,Lorengau,98,PG,1563766475,74,-2.02,147.27,83.45,5.88
242,Bayir,0,TR,1563766475,36,37.27,28.22,77.0,2.24
243,Honiara,40,SB,1563766476,62,-9.43,159.96,89.6,12.75
244,Bagdarin,100,RU,1563766476,92,54.44,113.59,56.63,2.08
245,Luanda,75,AO,1563766476,100,-8.83,13.24,66.2,2.24
246,Arlit,41,NE,1563766476,27,18.74,7.39,93.53,1.07
247,Darhan,100,MN,1563766477,92,49.49,105.92,60.41,7.23
248,Garowe,0,SO,1563766477,52,8.41,48.48,74.27,27.2
249,Fare,3,PF,1563766478,80,-16.7,-151.02,77.87,19.46
250,Pontianak,98,ID,1563766478,85,-0.02,109.34,79.31,10.94
251,Great Yarmouth,100,GB,1563766478,82,52.61,1.73,63.0,12.75
252,Conakry,94,GN,1563766479,86,9.52,-13.7,78.59,13.0
253,Quatre Cocos,75,MU,1563766479,88,-20.21,57.76,70.0,6.93
254,Sola,24,TZ,1563766479,62,-3.17,33.8,65.63,11.07
255,Suamico,20,US,1563766480,64,44.63,-88.04,69.8,10.29
